module	author
copy_number_consensus_call	Alex Sickler
copy_number_consensus_call	Eric Wafula
copy_number_consensus_call	Krutika S. Gaonkar
copy_number_consensus_call	Jo Lynne Rokita
copy_number_consensus_call	Zhuangzhuang Geng
copy_number_consensus_call_manta	Alex Sickler
copy_number_consensus_call_manta	Eric Wafula
copy_number_consensus_call_manta	Jo Lynne Rokita
copy_number_consensus_call_manta	Zhuangzhuang Geng
create-subset-files	Eric Wafula
create-subset-files	Jo Lynne Rokita
create-subset-files	Krutika S. Gaonkar
create-subset-files	Zhuangzhuang Geng
data-pre-release-qc	Eric Wafula
data-pre-release-qc	Zhuangzhuang Geng
efo-mondo-mapping	Jo Lynne Rokita
efo-mondo-mapping	Sangeeta Shukla
efo-mondo-mapping	Run Jin
efo-mondo-mapping	Zhuangzhuang Geng
filter-mtp-tables	Eric Wafula
filter-mtp-tables	Jo Lynne Rokita
filter-mtp-tables	Sangeeta Shukla
focal-cn-file-preparation	Alex Sickler
focal-cn-file-preparation	Jo Lynne Rokita
focal-cn-file-preparation	Komal S. Rathi
focal-cn-file-preparation	Krutika S. Gaonkar
focal-cn-file-preparation	Rocky Breslow
focal-cn-file-preparation	Run Jin
focal-cn-file-preparation	Zhuangzhuang Geng
focal-cn-file-preparation	Aditya Lahiri
focal-cn-file-preparation	Dave Hill
focal-cn-file-preparation	Eric Wafula
focal-cn-file-preparation	Ryan J. Corbett
focal-cn-file-preparation	Sangeeta Shukla
fusion-frequencies	Eric Wafula
fusion-frequencies	Jo Lynne Rokita
fusion-frequencies	Krutika S. Gaonkar
fusion-frequencies	Run Jin
fusion-frequencies	Sangeeta Shukla
fusion-frequencies	Zhuangzhuang Geng
fusion-summary	Daniel P. Miller
fusion-summary	Jo Lynne Rokita
fusion-summary	Krutika S. Gaonkar
fusion-summary	Run Jin
fusion-summary	Ryan J. Corbett
fusion-summary	Zhuangzhuang Geng
fusion_filtering	Eric Wafula
fusion_filtering	Jo Lynne Rokita
fusion_filtering	Krutika S. Gaonkar
fusion_filtering	Run Jin
fusion_filtering	Kelsey Keith
fusion_filtering	Zhuangzhuang Geng
gene-set-enrichment-analysis	Eric Wafula
gene-set-enrichment-analysis	Krutika S. Gaonkar
gene-set-enrichment-analysis	Run Jin
gene-set-enrichment-analysis	Jo Lynne Rokita
gene-set-enrichment-analysis	Sangeeta Shukla
gene_match	Jo Lynne Rokita
gene_match	Rocky Breslow
gene_match	Sangeeta Shukla
gene_match	Run Jin
independent-samples	Eric Wafula
independent-samples	Komal S. Rathi
independent-samples	Krutika S. Gaonkar
independent-samples	Run Jin
independent-samples	Jo Lynne Rokita
