match_id	MYCN_TPM	MYCN_CN	MYCN_CN_status	molecular_subtype	Kids_First_Participant_ID	Kids_First_Biospecimen_ID	sample_id
PAISNS_01_Solid Tissue_Primary Tumor	35.59	NA	NA	NBL, MYCN amplified	PAISNS	TARGET-30-PAISNS-01A-01D.M	01
PAISNS_01_Solid Tissue_Primary Tumor	35.59	NA	NA	NBL, MYCN amplified	PAISNS	TARGET-30-PAISNS-01A-01R	01
PAKZRH_01_Solid Tissue_Primary Tumor	19.5	NA	NA	NBL, MYCN amplified	PAKZRH	TARGET-30-PAKZRH-01A-01D.M	01
PAKZRH_01_Solid Tissue_Primary Tumor	19.5	NA	NA	NBL, MYCN amplified	PAKZRH	TARGET-30-PAKZRH-01A-01R	01
PALKUC_01_Solid Tissue_Primary Tumor	147.41	NA	NA	NBL, MYCN amplified	PALKUC	TARGET-30-PALKUC-01A-01R	01
PALNVP_01_Solid Tissue_Primary Tumor	22.36	NA	NA	NBL, MYCN amplified	PALNVP	TARGET-30-PALNVP-01A-01D.M	01
PALNVP_01_Solid Tissue_Primary Tumor	22.36	NA	NA	NBL, MYCN amplified	PALNVP	TARGET-30-PALNVP-01A-01R	01
PALUYS_01_Solid Tissue_Primary Tumor	64.75	NA	NA	NBL, MYCN amplified	PALUYS	TARGET-30-PALUYS-01A-01R	01
PALVKK_01_Solid Tissue_Primary Tumor	11.63	NA	NA	NBL, MYCN non-amplified	PALVKK	TARGET-30-PALVKK-01A-01R	01
PALXTB_01_Solid Tissue_Primary Tumor	35.21	NA	NA	NBL, MYCN amplified	PALXTB	TARGET-30-PALXTB-01A-01D.M	01
PALXTB_01_Solid Tissue_Primary Tumor	35.21	NA	NA	NBL, MYCN amplified	PALXTB	TARGET-30-PALXTB-01A-01R	01
PAMBMJ_01_Solid Tissue_Primary Tumor	71.2	NA	NA	NBL, MYCN amplified	PAMBMJ	TARGET-30-PAMBMJ-01A-01R	01
PAMEZH_01_Solid Tissue_Primary Tumor	121.89	NA	NA	NBL, MYCN non-amplified	PAMEZH	TARGET-30-PAMEZH-01A-01R	01
PAMNLH_01_Solid Tissue_Primary Tumor	29.77	NA	NA	NBL, MYCN amplified	PAMNLH	TARGET-30-PAMNLH-01A-01D.M	01
PAMNLH_01_Solid Tissue_Primary Tumor	29.77	NA	NA	NBL, MYCN amplified	PAMNLH	TARGET-30-PAMNLH-01A-01R	01
