match_id	MYCN_TPM	MYCN_CN	MYCN_CN_status	molecular_subtype	Kids_First_Participant_ID	Kids_First_Biospecimen_ID	sample_id
Maris_P0001_SH-SY5Y_Derived Cell Line_Progressive_NA_NA	2.11	NA	NA	NBL, MYCN non-amplified	Maris_P0001	MARIS_HEMEDKRG	SH-SY5Y
Maris_P0001_SK-N-SH_Derived Cell Line_Progressive_NA_NA	6.99	NA	NA	NBL, MYCN non-amplified	Maris_P0001	MARIS_M10LINIO	SK-N-SH
Maris_P0002_SK-N-BE2-C_Derived Cell Line_Progressive_NA_NA	544.81	NA	NA	NBL, MYCN amplified	Maris_P0002	MARIS_WQRZBZ4G	SK-N-BE2-C
Maris_P0002_SK-N-BE2_Derived Cell Line_Progressive_NA_NA	873	NA	NA	NBL, MYCN amplified	Maris_P0002	MARIS_JE9T5LOF	SK-N-BE2
Maris_P0003_CHP-134_Derived Cell Line_Progressive_NA_NA	674.77	NA	NA	NBL, MYCN amplified	Maris_P0003	MARIS_7NZCWMJE	CHP-134
Maris_P0004_CHP-212_Derived Cell Line_Unknown_NA_NA	512.12	NA	NA	NBL, MYCN amplified	Maris_P0004	MARIS_SXL48UGF	CHP-212
Maris_P0005_IMR-05_Derived Cell Line_Progressive_NA_NA	369.16	NA	NA	NBL, MYCN amplified	Maris_P0005	MARIS_VX4JCU78	IMR-05
Maris_P0005_IMR-32_Derived Cell Line_Progressive_NA_NA	465.46	NA	NA	NBL, MYCN amplified	Maris_P0005	MARIS_NMSC6BVZ	IMR-32
Maris_P0006_KELLY_Derived Cell Line_Unknown_NA_NA	742.24	NA	NA	NBL, MYCN amplified	Maris_P0006	MARIS_X2ET87GI	KELLY
Maris_P0007_COG-N-534_Derived Cell Line_Unknown_NA_NA	13.16	NA	NA	NBL, MYCN non-amplified	Maris_P0007	MARIS_54FAKEIN	COG-N-534
Maris_P0008_COG-N-573_Derived Cell Line_Unknown_NA_NA	1134.68	NA	NA	NBL, MYCN amplified	Maris_P0008	MARIS_6UV3BJAL	COG-N-573
Maris_P0009_LA-N-5_Derived Cell Line_Progressive_NA_NA	1399.29	NA	NA	NBL, MYCN amplified	Maris_P0009	MARIS_HK31CBVO	LA-N-5
Maris_P0010_LA-N-6_Derived Cell Line_Progressive_NA_NA	3.95	NA	NA	NBL, MYCN non-amplified	Maris_P0010	MARIS_LJRX2KUQ	LA-N-6
Maris_P0011_NB-1_Derived Cell Line_Progressive_NA_NA	328.66	NA	NA	NBL, MYCN amplified	Maris_P0011	MARIS_6ZJTUIGZ	NB-1
Maris_P0012_NB-69_Derived Cell Line_Unknown_NA_NA	0.81	NA	NA	NBL, MYCN non-amplified	Maris_P0012	MARIS_5YY8GILQ	NB-69
Maris_P0013_NBL-S_Derived Cell Line_Unknown_NA_NA	44.34	NA	NA	NBL, MYCN non-amplified	Maris_P0013	MARIS_MWYH16EQ	NBL-S
Maris_P0014_NGP_Derived Cell Line_Progressive_NA_NA	823.02	NA	NA	NBL, MYCN amplified	Maris_P0014	MARIS_TDY23ZA5	NGP
Maris_P0015_NLF_Derived Cell Line_Unknown_NA_NA	74.04	NA	NA	NBL, MYCN amplified	Maris_P0015	MARIS_IICVUNN8	NLF
Maris_P0016_NMB_Derived Cell Line_Unknown_NA_NA	534.85	NA	NA	NBL, MYCN amplified	Maris_P0016	MARIS_IJBHSKKC	NMB
Maris_P0017_SK-N-AS_Derived Cell Line_Progressive_NA_NA	0.08	NA	NA	NBL, MYCN non-amplified	Maris_P0017	MARIS_RMULBCDT	SK-N-AS
Maris_P0018_SK-N-DZ_Derived Cell Line_Progressive_NA_NA	359.6	NA	NA	NBL, MYCN amplified	Maris_P0018	MARIS_ICP9L0D7	SK-N-DZ
Maris_P0019_SK-N-FI_Derived Cell Line_Progressive_NA_NA	28.28	NA	NA	NBL, MYCN non-amplified	Maris_P0019	MARIS_H8FYX6YM	SK-N-FI
Maris_P0020_SMS-KAN_Derived Cell Line_Unknown_NA_NA	553.22	NA	NA	NBL, MYCN amplified	Maris_P0020	MARIS_GKS38MPB	SMS-KAN
Maris_P0021_SMS-SAN_Derived Cell Line_Progressive_NA_NA	1116.65	NA	NA	NBL, MYCN amplified	Maris_P0021	MARIS_XVVK4ZCI	SMS-SAN
PAHYWC_01_Solid Tissue_Primary Tumor	NA	35	amplification	NBL, MYCN amplified	PAHYWC	TARGET-30-PAHYWC-01A-01W	01
PAICGF_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PAICGF	TARGET-30-PAICGF-01A-01W	01
PAIFCS_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PAIFCS	TARGET-30-PAIFCS-01A-01W	01
PAIFXV_01_Solid Tissue_Primary Tumor	3.17	3	gain	NBL, MYCN non-amplified	PAIFXV	TARGET-30-PAIFXV-01A-01D	01
PAIFXV_01_Solid Tissue_Primary Tumor	3.17	3	gain	NBL, MYCN non-amplified	PAIFXV	TARGET-30-PAIFXV-01A-01D.M	01
PAIFXV_01_Solid Tissue_Primary Tumor	3.17	3	gain	NBL, MYCN non-amplified	PAIFXV	TARGET-30-PAIFXV-01A-01R	01
PAILNU_01_Solid Tissue_Primary Tumor	NA	3	gain	NBL, MYCN non-amplified	PAILNU	TARGET-30-PAILNU-01A-01W	01
