hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	1.5463511476431255	0.06410752099422959	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	2.4111888058443105	8.575024545237048e-4	0.04287512272618524	FALSE
HALLMARK_ANDROGEN_RESPONSE	1.7247461762562901	0.02835848717791963	1	FALSE
HALLMARK_ANGIOGENESIS	1.2232381402801749	0.2342614781886206	1	FALSE
HALLMARK_APICAL_JUNCTION	1.9511329867100866	0.009397489627753549	0.46987448138767746	FALSE
HALLMARK_APICAL_SURFACE	2.6575846499240905	2.271296018915906e-4	0.01135648009457953	FALSE
HALLMARK_APOPTOSIS	1.6738829048623727	0.0359866064291542	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	3.2307580556003566	9.8970275949779e-6	4.94851379748895e-4	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.1433185872224296	1.5978960609722177e-5	7.989480304861088e-4	TRUE
HALLMARK_COAGULATION	3.148579615283345	1.5524908706125093e-5	7.762454353062546e-4	TRUE
HALLMARK_COMPLEMENT	3.0006544298001945	3.491424067528655e-5	0.0017457120337643274	TRUE
HALLMARK_DNA_REPAIR	0.9543635205912887	0.529886726479597	1	FALSE
HALLMARK_E2F_TARGETS	2.7592182902424427	1.3066038442201744e-4	0.006533019221100872	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.6289109693289319	0.04426414590986229	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	3.0814100054739	2.2432217579069777e-5	0.0011216108789534889	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	2.8376444918641854	8.517086044133506e-5	0.004258543022066753	TRUE
HALLMARK_FATTY_ACID_METABOLISM	1.539593653145541	0.0660414326152983	1	FALSE
HALLMARK_G2M_CHECKPOINT	2.6152795829118305	2.857099624530765e-4	0.014285498122653824	FALSE
HALLMARK_GLYCOLYSIS	1.339364737085451	0.15190592649257387	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	2.105971200086293	0.004272697687715715	0.21363488438578573	FALSE
HALLMARK_HEME_METABOLISM	1.909780213750234	0.011552654591335823	0.5776327295667911	FALSE
HALLMARK_HYPOXIA	1.7804897032834708	0.02174261887741461	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	2.2186761625660316	0.0023773961707486808	0.11886980853743404	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.2296924914920444	0.002243927846964704	0.1121963923482352	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	3.264626389001537	8.221538175926268e-6	4.110769087963134e-4	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.420907132491324	8.140719121602682e-4	0.04070359560801341	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.614714587692336	2.86585939614844e-4	0.0143292969807422	FALSE
HALLMARK_KRAS_SIGNALING_DN	2.5259896137217184	4.629427662942971e-4	0.023147138314714856	FALSE
HALLMARK_KRAS_SIGNALING_UP	2.86936881897401	7.161528202425409e-5	0.003580764101212704	TRUE
HALLMARK_MITOTIC_SPINDLE	1.2196910237065235	0.2372217865114235	1	FALSE
HALLMARK_MTORC1_SIGNALING	0.9860525691207153	0.4889392994114453	1	FALSE
HALLMARK_MYC_TARGETS_V1	1.3217394755351146	0.16265460401991577	1	FALSE
HALLMARK_MYC_TARGETS_V2	1.4452338359756007	0.09898093241950225	1	FALSE
HALLMARK_MYOGENESIS	3.8488624934222373	3.4152630322017494e-7	1.7076315161008748e-5	TRUE
HALLMARK_NOTCH_SIGNALING	3.06788996144045	2.4157056415491747e-5	0.0012078528207745873	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.0260117044840356	0.43893082789973853	1	FALSE
HALLMARK_P53_PATHWAY	1.6676886868032252	0.037035195276790646	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	1.8633909543388127	0.014530010875352328	0.7265005437676164	FALSE
HALLMARK_PEROXISOME	1.341474695238804	0.15065880898059084	1	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.8610504124992516	0.6530267015894627	1	FALSE
HALLMARK_PROTEIN_SECRETION	0.9018507698206747	0.599142229646291	1	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.5194561383787464	0.0721166448892304	1	FALSE
HALLMARK_SPERMATOGENESIS	1.6074612063951892	0.04879618313255877	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	1.5889338724847637	0.05304600028044803	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.080815576028449	0.004863534619928285	0.24317673099641424	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.8744994863822075	0.6353330131973494	1	FALSE
HALLMARK_UV_RESPONSE_DN	1.3825063258862866	0.1280296368282146	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.9674684912868801	0.5128413358516009	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.4483210162102595	0.09771064680564749	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	2.6200659289013992	2.7839477687797786e-4	0.013919738843898893	FALSE
